ARTIST,ALBUM,PERSONAL RATING
mol,JORD,4.0
*shels,Plains Of The Purple Buffalo,4.5
0edit,Neotokyo,4.5
21 Savage,Savage Mode,3.0
A Bunny's Caravan,"Draining Puddles, Retrieving Treasures",4.0
A Day To Remember,For Those Who Have Heart [Re-Issue],3.5
A Day To Remember,Homesick,3.5
A Day To Remember,Common Courtesy,3.0
A Day To Remember,What Separates Me from You,3.0
A Lot Like Birds,Plan B,3.5
A Lot Like Birds,No Place,4.0
A Lot Like Birds,Conversation Piece,4.0
A Sunny Day in Glasgow,Sea When Absent,3.5
A Will Away,Here Again,3.0
A Winged Victory for the Sullen,A Winged Victory for the Sullen,4.0
A Winged Victory for the Sullen,Atomos,3.5
Aaron West and The Roaring Twenties,We Don't Have Each Other,4.0
Acres,Acres,4.0
Adestria,Chapters,3.5
Adjy,Prelude (.3333),4.5
Adventures,Supersonic Home,3.5
Agalloch,The Mantle,4.5
Agalloch,Ashes Against the Grain,4.0
Agalloch,The White,4.0
Alcest,Shelter,3.5
Alcest,Kodama,4.0
Alex Cameron,Forced Witness,4.0
All Human,"Teenagers, You Don't Have to Die",4.5
All the Empires of the World,Blessings,3.5
alone.,Somewhere in the Sierras,3.0
Alpha Male Tea Party,Health,3.5
alt-J,This Is All Yours,2.0
alt-J,An Awesome Wave,3.5
alt-J,Relaxer,3.0
Alter,Pendulum,3.5
Alvvays,Alvvays,3.5
American Football,American Football,4.0
American Pleasure Club,It's the Big Joyous Celebration..,3.5
Amia Venera Landscape,The Long Procession,4.0
Amine,Good For You,3.0
Anatomy Of The Bear,Anatomy Of The Bear,3.5
Anberlin,Vital,4.0
Anberlin,Cities,4.5
Anberlin,New Surrender,3.5
Anberlin,"Dark Is the Way, Light Is a Place",3.5
Anberlin,Never Take Friendship Personal,3.5
Anberlin,Lowborn,3.5
Anberlin,Devotion,4.0
And So I Watch You From Afar,And So I Watch You From Afar,4.0
Angels and Airwaves,I-Empire,3.5
Animal Collective,Merriweather Post Pavilion,3.5
Animal Collective,Feels,4.0
Aphex Twin,Selected Ambient Works 85-92,4.5
Aphex Twin,Syro,3.5
Arcade Fire,Funeral,4.0
Arcade Fire,Reflektor,3.5
Architects,Daybreaker,3.5
Architects,The Here and Now,3.0
Architects,All Our Gods Have Abandoned Us,3.0
Arctic Monkeys,AM,1.5
Arms Like Yours,My Silhouette,4.0
Arms Like Yours,.Architect.,4.0
Astronoid,Air,4.0
Athletics,Who You Are Is Not Enough,4.0
Audrey Fall,Mitau,4.0
August Burns Red,Leveler,3.5
August Burns Red,Constellations,4.0
August Burns Red,Rescue & Restore,3.5
August Burns Red,Messengers,3.5
August Burns Red,Found in Far Away Places,3.5
BADBADNOTGOOD,III,4.0
Balance and Composure,I Just Want To Be Pure,4.5
Balance and Composure,Separation,3.5
Balance and Composure,The Things We Think We're Missing,3.0
Balance and Composure,Only Boundaries,3.5
Basement,Colourmeinkindness,4.0
Basement,I Wish I Could Stay Here,3.5
Basement,Further Sky,3.0
Basement,Promise Everything,3.0
Baths,Obsidian,4.5
Baths,Ocean Death,4.0
Baths,Cerulean,4.0
Baths,Romaplasm,3.5
Baths,Pop Music/False B-Sides,4.0
Beach Fossils,Somersault,3.0
Being As An Ocean,Dear G-d,4.0
Being As An Ocean,How We Both Wondrously Perish,3.0
Bell Witch,Mirror Reaper,3.5
Ben Howard,I Forget Where We Were,4.0
Benjamin Clementine,I Tell A Fly,4.0
Better Off,(I Think) I'm Leaving,4.0
Better Off,Milk,3.0
Bibio,Silver Wilkinson,3.5
Blanck Mass,World Eater,4.0
Bleachers,Gone Now,3.0
Blink-182,blink-182,4.0
Blink-182,Take Off Your Pants And Jacket,4.0
Blink-182,Enema of the State,3.5
Blink-182,Greatest Hits,4.5
Blink-182,Neighborhoods,3.0
Blink-182,California,2.0
Bon Iver,"Bon Iver, Bon Iver",4.5
Bon Iver,"For Emma, Forever Ago",4.5
Bon Iver,Blood Bank,3.5
Bon Iver,"22, A Million",4.5
Bosse-de-Nage,All Fours,4.0
Box Car Racer,Box Car Racer,3.5
Brand New,The Devil and God Are Raging Inside Me,4.5
Brand New,Deja Entendu,4.0
Brand New,Your Favorite Weapon,3.5
